"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2012","2012",65088.2,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2013","2013",66186.1,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2014","2014",70138,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2015","2015",71396,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2016","2016",74897,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2017","2017",77880,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2012","2012",67005,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2013","2013",67899,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2014","2014",72794,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2015","2015",77520,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2016","2016",79109,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2017","2017",84045.7,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2012","2012",231230,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2013","2013",232910,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2014","2014",236470,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2015","2015",244879,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2016","2016",223146,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2012","2012",60329.444,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2013","2013",61975.856,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2014","2014",64443.5,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2015","2015",66433.4,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2016","2016",65782.995,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2017","2017",69735.653,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2012","2012",57734.1,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2013","2013",57744,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2014","2014",58361,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2015","2015",60243,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2016","2016",62869,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2017","2017",62911,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2012","2012",54046.616,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2013","2013",52972.1,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2014","2014",52130.2,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2015","2015",50367.2,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2016","2016",47429.3,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2017","2017",48999,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2012","2012",411780,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2013","2013",416687.349,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2014","2014",423902.746,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2015","2015",428642.886,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2017","2017",434670,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2012","2012",591260.8,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2013","2013",588615.029,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2014","2014",605252,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2015","2015",640516,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2016","2016",657894,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2017","2017",681552,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2012","2012",37361.2,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2013","2013",42187.62,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2014","2014",43316.11,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2015","2015",49658,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2016","2016",41790,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2017","2017",48226,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2012","2012",35732,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2013","2013",38163,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2014","2014",37329,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2015","2015",36847,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2016","2016",35757,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2017","2017",40432,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2013","2013",2736.28,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2015","2015",2941.32,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2016","2016",3247,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2012","2012",29284,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2013","2013",31870,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2014","2014",33494,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2015","2015",32085,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2016","2016",29849,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2017","2017",29405,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2012","2012",240179.2,,
