"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","23","1"
"Afghanistan","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","23","2"
"Algeria","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","3","1"
"Algeria","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","3","2"
"Algeria","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","3","3"
"Algeria","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","19","4"
"Algeria","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","6","5"
"Algeria","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","6","6"
"Algeria","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","6","7"
"Algeria","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","6","8"
"Algeria","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","6","9"
"Algeria","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","6","10"
"Antigua and Barbuda","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","18","1"
"Antigua and Barbuda","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","18","2"
"Antigua and Barbuda","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","18","3"
"Antigua and Barbuda","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","18","4"
"Antigua and Barbuda","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","12","5"
"Antigua and Barbuda","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","12","6"
"Antigua and Barbuda","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","12","7"
"Antigua and Barbuda","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","12","8"
"Antigua and Barbuda","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","18","10"
"Antigua and Barbuda","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","18","11"
"Argentina","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","43","1"
"Argentina","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","42","2"
"Argentina","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","33","3"
"Argentina","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","33","4"
"Argentina","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","33","5"
"Argentina","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","33","6"
"Argentina","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","3","7"
"Argentina","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","3","8"
"Argentina","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","6","9"
"Argentina","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","6","10"
"Argentina","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","3","11"
"Australia","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","36","1"
"Australia","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","36","2"
"Australia","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","36","3"
"Australia","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","29","4"
"Australia","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","29","5"
"Australia","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","29","6"
"Australia","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","29","7"
"Australia","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","29","8"
"Australia","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","30","9"
"Australia","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","30","10"
"Australia","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","30","11"
"Austria","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","27","1"
"Austria","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","27","2"
"Austria","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","27","3"
"Austria","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","21","4"
"Austria","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","21","5"
"Austria","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","20","6"
"Austria","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","20","7"
"Austria","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","20","8"
"Austria","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","20","9"
"Austria","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","20","10"
"Austria","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","20","11"
"Bahamas","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","53","1"
"Bahamas","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","44","2"
"Bahamas","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","44","3"
"Bahamas","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","44","4"
"Bahamas","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","31","7"
"Bahamas","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","31","8"
"Bahamas","Female","1999","IPU_Women in National Parliaments_Sep2007","Percent","31","9"
"Bahamas","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","31","10"
"Bahamas","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","19","11"
"Bahrain","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","25","1"
"Bahrain","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","15","2"
"Bahrain","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","15","3"
"Bahrain","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","15","4"
"Bahrain","Female","2003","IPU_Women in National Parliaments_Sep2007","Percent","13","5"
"Barbados","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","24","1"
"Barbados","Female","2006","IPU_Women in National Parliaments_Sep2007","Percent","24","2"
"Barbados","Female","2005","IPU_Women in National Parliaments_Sep2007","Percent","24","3"
"Barbados","Female","2004","IPU_Women in National Parliaments_Sep2007","Percent","24","4"
"Barbados","Female","2002","IPU_Women in National Parliaments_Sep2007","Percent","33","6"
"Barbados","Female","2001","IPU_Women in National Parliaments_Sep2007","Percent","33","7"
"Barbados","Female","2000","IPU_Women in National Parliaments_Sep2007","Percent","33","8"
"Barbados","Female","1998","IPU_Women in National Parliaments_Sep2007","Percent","29","10"
"Barbados","Female","1997","IPU_Women in National Parliaments_Sep2007","Percent","29","11"
"Belarus","Female","2007","IPU_Women in National Parliaments_Sep2007","Percent","31","1"
