"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Algeria","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","18860790",""
"Algeria","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","17540379",""
"Algeria","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","22538315",""
"Algeria","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","21629504",""
"Algeria","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","20503550",""
"Algeria","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","19226749",""
"Algeria","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","17882126",""
"Angola","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","15489252",""
"Angola","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","13812772",""
"Angola","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","12224421",""
"Angola","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","10746376",""
"Angola","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","9368477",""
"Angola","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","15162286",""
"Angola","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","13511666",""
"Angola","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","11944461",""
"Angola","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","10484953",""
"Angola","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","9124571",""
"Argentina","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","24284226",""
"Argentina","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","23551569",""
"Argentina","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","22719384",""
"Argentina","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","21799555",""
"Argentina","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","20815136",""
"Argentina","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","23249608",""
"Argentina","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","22563113",""
"Argentina","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","21766790",""
"Argentina","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","20876583",""
"Argentina","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","19922852",""
"Armenia","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1520452",""
"Armenia","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1557186",""
"Armenia","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1582770",""
"Armenia","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","1594516",""
"Armenia","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","1599848",""
"Armenia","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1317941",""
"Armenia","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1350486",""
"Armenia","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1372680",""
"Armenia","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","1381195",""
"Armenia","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","1386679",""
"Aruba","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","56327",""
"Aruba","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","56046",""
"Aruba","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","55587",""
"Aruba","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","54891",""
"Aruba","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","53769",""
"Aruba","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","51371",""
"Aruba","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","51122",""
"Aruba","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","50743",""
"Aruba","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","50167",""
"Aruba","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","49166",""
"Australia","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","12707478","1"
"Australia","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","12252021","1"
"Australia","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","11759159","1"
"Australia","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","11246443","1"
"Australia","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","10728258","1"
"Australia","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","12579204","1"
"Australia","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","12141432","1"
"Australia","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","11658662","1"
"Australia","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","11150587","1"
"Australia","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","10633848","1"
"Austria","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","4390657",""
"Austria","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","4375401",""
"Austria","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","4351253",""
"Austria","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","4323741",""
"Austria","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4295630",""
"Austria","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","4252510",""
"Austria","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","4246239",""
"Austria","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","4224035",""
"Austria","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","4189878",""
"Austria","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4146488",""
"Azerbaijan","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","4953089",""
"Azerbaijan","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","4894840",""
"Azerbaijan","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","4783435",""
"Azerbaijan","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","4626732",""
"Azerbaijan","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4454140",""
"Azerbaijan","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","4645807",""
"Azerbaijan","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","4612792",""
"Azerbaijan","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","4523424",""
"Azerbaijan","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","4380940",""
"Azerbaijan","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4216864",""
"Bahamas","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","213693",""
"Bahamas","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","205341",""
"Bahamas","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","196145",""
"Bahamas","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","186391",""
"Bahamas","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","175774",""
"Bahamas","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","198511",""
"Bahamas","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","191991",""
"Bahamas","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","184617",""
"Bahamas","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","176538",""
"Bahamas","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","167521",""
"Bahrain","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","452857",""
"Bahrain","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","426354",""
"Bahrain","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","399206",""
"Bahrain","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","370688",""
"Bahrain","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","340608",""
"Bahrain","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","571903",""
"Bahrain","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","545896",""
"Bahrain","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","517403",""
"Bahrain","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","485980",""
"Bahrain","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","451868",""
"Bangladesh","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","107570846",""
"Bangladesh","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","101436696",""
"Bangladesh","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","94960302",""
"Bangladesh","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","88269431",""
"Bangladesh","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","81493127",""
"Bangladesh","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","110361436",""
"Bangladesh","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","104587014",""
"Bangladesh","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","98372725",""
"Bangladesh","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","91844391",""
"Bangladesh","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","85145313",""
"Barbados","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","154641",""
"Barbados","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","155477",""
"Barbados","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","155257",""
"Barbados","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","154238",""
"Barbados","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","152685",""
"Barbados","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","146726",""
"Barbados","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","147867",""
"Barbados","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","147530",""
"Barbados","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","146103",""
"Barbados","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","143905",""
"Belarus","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","4511135",""
"Belarus","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","4674596",""
"Belarus","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","4829160",""
"Belarus","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","4972355",""
"Belarus","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","5104255",""
"Belarus","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","3835340",""
"Belarus","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","3993177",""
"Belarus","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","4145141",""
"Belarus","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","4287302",""
"Belarus","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4424273",""
"Belgium","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","5499441",""
"Belgium","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","5475547",""
"Belgium","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","5445572",""
"Belgium","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5410900",""
"Belgium","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","5367421",""
"Belgium","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","5280622",""
"Belgium","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","5266235",""
"Belgium","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","5238546",""
"Belgium","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5201919",""
"Belgium","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","5154339",""
"Belize","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","207502",""
"Belize","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","194921",""
"Belize","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","181222",""
"Belize","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","166847",""
"Belize","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","151800",""
"Belize","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","205900",""
"Belize","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","194359",""
"Belize","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","181593",""
"Belize","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","168195",""
"Belize","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","153880",""
"Benin","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","7937986",""
"Benin","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","7141126",""
"Benin","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","6359659",""
"Benin","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5601529",""
"Benin","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4885880",""
"Benin","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","8138114",""
"Benin","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","7319333",""
"Benin","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","6514308",""
"Benin","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5729614",""
"Benin","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4986486",""
"Bhutan","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","408958",""
"Bhutan","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","391186",""
"Bhutan","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","370122",""
"Bhutan","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","347228",""
"Bhutan","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","323110",""
"Bhutan","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","442279",""
"Bhutan","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","428005",""
"Bhutan","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","409874",""
"Bhutan","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","389479",""
"Bhutan","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","361172",""
"Bolivia","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","6522760",""
"Bolivia","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","6190024",""
"Bolivia","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","5826171",""
"Bolivia","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5436674",""
"Bolivia","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","5028099",""
"Bolivia","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","6511426",""
"Bolivia","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","6178473",""
"Bolivia","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","5811904",""
"Bolivia","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5417664",""
"Bolivia","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","5002906",""
"Bosnia and Herzegovina","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1874569",""
"Bosnia and Herzegovina","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1926238",""
"Bosnia and Herzegovina","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1970467",""
"Bosnia and Herzegovina","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","2004578",""
"Bosnia and Herzegovina","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","2025707",""
"Bosnia and Herzegovina","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1778576",""
"Bosnia and Herzegovina","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1824323",""
"Bosnia and Herzegovina","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1862989",""
"Bosnia and Herzegovina","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","1894241",""
"Bosnia and Herzegovina","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","1915806",""
"Botswana","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1158358",""
"Botswana","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1116053",""
"Botswana","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1071981",""
"Botswana","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","1026266",""
"Botswana","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","978225",""
"Botswana","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1199667",""
"Botswana","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1148455",""
"Botswana","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1093196",""
"Botswana","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","1035242",""
"Botswana","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","974469",""
"Brazil","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","120588831",""
"Brazil","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","116533568",""
"Brazil","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","111891928",""
"Brazil","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","106708042",""
"Brazil","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","100947889",""
"Brazil","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","115891343",""
"Brazil","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","112299874",""
"Brazil","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","108099798",""
"Brazil","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","103339503",""
"Brazil","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","98034100",""
"Brunei","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","277261",""
"Brunei","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","258624",""
"Brunei","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","239970",""
"Brunei","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","220680",""
"Brunei","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","200621",""
"Brunei","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","283933",""
"Brunei","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","267689",""
"Brunei","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","250842",""
"Brunei","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","232808",""
"Brunei","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","213594",""
"Bulgaria","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","3238192",""
"Bulgaria","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","3405223",""
"Bulgaria","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","3567979",""
"Bulgaria","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","3720895",""
"Bulgaria","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","3861754",""
"Bulgaria","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","2985584",""
"Bulgaria","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","3145676",""
"Bulgaria","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","3304645",""
"Bulgaria","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","3458695",""
"Bulgaria","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","3609546",""
"Burkina Faso","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","13148768",""
"Burkina Faso","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","11780417",""
"Burkina Faso","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","10454047",""
"Burkina Faso","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","9196915",""
"Burkina Faso","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","8030342",""
"Burkina Faso","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","13355752",""
"Burkina Faso","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","11948498",""
"Burkina Faso","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","10579507",""
"Burkina Faso","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","9278238",""
"Burkina Faso","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","8066506",""
"Burundi","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","8691939",""
"Burundi","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","7594548",""
"Burundi","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","6606559",""
"Burundi","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5690072",""
"Burundi","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4860568",""
"Burundi","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","8539897",""
"Burundi","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","7445688",""
"Burundi","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","6455627",""
"Burundi","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","5532497",""
"Burundi","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","4692350",""
"Cambodia","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","10435430",""
"Cambodia","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","9823560",""
"Cambodia","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","9158059",""
"Cambodia","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","8458048",""
"Cambodia","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","7778517",""
"Cambodia","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","10325184",""
"Cambodia","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","9665596",""
"Cambodia","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","8944008",""
"Cambodia","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","8183024",""
"Cambodia","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","7444988",""
"Cameroon","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","13388105",""
"Cameroon","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","12519040",""
"Cameroon","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","11638836",""
"Cameroon","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","10739154",""
"Cameroon","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","9823432",""
"Cameroon","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","13503764",""
"Cameroon","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","12616906",""
"Cameroon","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","11713131",""
"Cameroon","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","10786044",""
"Cameroon","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","9838559",""
"Canada","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","19739209",""
"Canada","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","19119698",""
"Canada","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","18444107",""
"Canada","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","17743213",""
"Canada","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","17027514",""
"Canada","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","19365784",""
"Canada","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","18792134",""
"Canada","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","18143900",""
"Canada","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","17447418",""
"Canada","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","16724056",""
"Cape Verde","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","411487",""
"Cape Verde","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","382822",""
"Cape Verde","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","353390",""
"Cape Verde","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","323323",""
"Cape Verde","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","293080",""
"Cape Verde","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","396632",""
"Cape Verde","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","366967",""
"Cape Verde","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","336301",""
"Cape Verde","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","304970",""
"Cape Verde","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","273597",""
"Central African Republic","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","3150342",""
"Central African Republic","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","2958962",""
"Central African Republic","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","2762563",""
"Central African Republic","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","2558881",""
"Central African Republic","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","2346880",""
"Central African Republic","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","3064061",""
"Central African Republic","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","2872163",""
"Central African Republic","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","2671234",""
"Central African Republic","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","2461916",""
"Central African Republic","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","2245356",""
